pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_logg,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_vmag,sy_kmag,sy_gaiamag
AB Pic b,AB Pic,1,1,,12.3,1.1,,K2 V,5285,1,0.9,4.53,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,0.0735,9.13,6.981,8.8378
AF Lep b,AF Lep,1,1,8030,13.1,1.17,1400,F8 V,6130,1.25,1.2,4.4,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564,0.0189,6.332,4.926,6.18644
BD+60 1417 b,BD+60 1417,1,1,,14.684,1.31,1303,K0,4993,0.8,1,4.55,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543,0.0593,9.374,7.288,9.17439
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,10037.5,12.4,1.11,370,,580.5,,0.02,4.72,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,23.1,2.4,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,8040000,20.849,1.86,1800,M9-L1,2320,0.24,0.01,3.85,16h27m44.23s,246.934277,-23d58m52.14s,-23.98115,,,,14.593,
CHXR 73 b,CHXR 73,1,1,,12.3,1.1,,M3.5,3099,,0.35,,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.374,6.647,,10.703,17.2934
COCONUTS-2 b,COCONUTS-2 A,1,1,402000000,12.442,1.11,434,M3 V,3406,0.39,0.37,4.83,07h49m12.22s,117.300914,-76d42m09.71s,-76.702696,10.8864,0.0041,11.298,6.579,10.146
CT Cha b,CT Cha,1,1,,24.66,2.2,2600,K5e,4403,1.68,,3.66,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.72,0.778,12.335,8.661,11.7733
DH Tau b,DH Tau,1,1,,30.264,2.7,2200,M0.5,4371,0.27,0.33,4,04h29m41.56s,67.4231674,+26d32m57.80s,26.5493897,134.846,1.282,13.98,8.178001,12.4961
FU Tau b,FU Tau,1,1,,12.2,1.09,2375,M7.25,2838,,0.05,,04h23m35.40s,65.8974962,+25d03m02.42s,25.0506711,133.4950466,22.9649891,,9.324,15.2412
G 196-3 b,G 196-3,1,1,,12,1.07,1670,,3517,0.52,0.52,4.72,10h04m21.23s,151.0884754,+50d23m10.25s,50.3861806,21.7912,0.01855,11.672,7.199,10.6123
GJ 504 b,GJ 504,1,1,,13,1.16,510,G0 V,6234,1.26,1.22,4.6,13h16m46.16s,199.192348,+09d25m29.92s,9.4249781,17.5299,0.0785,5.18799,4.033,5.04156
GJ 900 b,GJ 900 A,3,1,,12.4,1.11,,K7,3976,0.72,1.08,4.56,23h35m00.63s,353.7526177,+01d36m19.88s,1.6055211,20.8065,0.0357,9.59,6.044,9.02571
GQ Lup b,GQ Lup,1,1,,33.6,3,2650,K7e V,4360,1.94,0.7,3.65,15h49m12.09s,237.3003643,-35d39m05.42s,-35.6515055,151.169,1.096,11.593,7.096,11.2608
GSC 06214-00210 b,GSC 06214-00210,1,1,,20.176,1.8,2300,K7,4200,0.9,0.9,4.37,16h21m54.65s,245.4776921,-20d43m09.62s,-20.7193398,108.5,0.513,12.416,9.152,11.8633
GU Psc b,GU Psc,1,1,,14.179,1.265,1050,M3,4031.81,0.45,0.33,4.78,01h12m35.16s,18.146485,+17d03m54.01s,17.0650029,47.5501,0.1649,14.146,9.345,12.9656
HD 100546 b,HD 100546,1,1,,77.342,6.9,,B9 Vne,10500,1.85,2.4,4.33,11h33m25.32s,173.3555116,-70d11m41.24s,-70.1947897,109.677,0.621,6.69,5.418,6.65514
HD 106906 b,HD 106906,1,1,,12.4,1.11,1800,F5 V,6516,2.12,1.5,3.9,12h17m53.12s,184.4713308,-55d58m32.09s,-55.9755805,103.029,0.461,7.8,6.683,7.68639
HD 169142 b,HD 169142,1,1,,13.1,1.17,,,7246,1.54,1.85,4.28,18h24m29.78s,276.1240717,-29d46m49.91s,-29.7805318,113.6,0.833,8.156,6.41,8.05449
HD 203030 b,HD 203030,1,1,,14.46,1.29,1040,G8 V,5603,0.86,0.94,4.64,21h18m58.37s,319.7432238,+26d13m50.10s,26.2305846,39.2503,0.0949,8.45,6.653,8.24663
HD 206893 b,HD 206893,1,2,9350,14.011,1.25,1429,F5 V,6500,1.31,1.32,4.45,21h45m22.00s,326.3416874,-12d47m00.07s,-12.7833522,40.7583,0.1072,6.68804,5.593,6.56783
HD 206893 c,HD 206893,1,2,2090,16.365,1.46,1182,F5 V,6500,1.31,1.32,4.34,21h45m22.00s,326.3416874,-12d47m00.07s,-12.7833522,40.7583,0.1072,6.68804,5.593,6.56783
